totalgames,X_win,O_win,draw,X_n_moves,O_n_moves,n_moves
1,1,0,0,4,0,7
1,0,1,0,0,3,6
1,0,0,1,5,4,9
1,0,0,1,13,12,25
1,1,0,0,4,0,7
1,1,0,0,6,0,11
1,1,0,0,5,0,9
1,0,0,1,9,8,16
1,1,0,0,4,0,7
1,1,0,0,4,0,7
1,1,0,0,4,0,7
1,1,0,0,5,0,9
1,1,0,0,4,0,7
1,1,0,0,4,0,7
1,1,0,0,3,0,5
1,1,0,0,4,0,7
1,1,0,0,4,0,7
1,1,0,0,4,0,7
1,1,0,0,5,0,9
1,0,1,0,0,6,12
1,1,0,0,5,0,9
1,1,0,0,4,0,7
1,1,0,0,4,0,7
1,1,0,0,6,0,11
1,0,1,0,0,3,6
1,1,0,0,3,0,5
1,1,0,0,4,0,7
1,0,1,0,0,9,18
1,1,0,0,3,0,5
1,1,0,0,3,0,5
1,1,0,0,3,0,5
1,0,0,1,5,4,9
1,0,1,0,0,4,8
1,0,1,0,0,4,8
1,0,0,1,5,4,9
1,1,0,0,3,0,5
1,1,0,0,3,0,5
1,1,0,0,3,0,5
1,1,0,0,5,0,9
1,1,0,0,5,0,9
1,1,0,0,3,0,5
1,0,1,0,0,4,8
1,0,0,1,5,4,9
1,0,0,1,5,4,9
1,0,0,1,5,4,9
1,1,0,0,3,0,5
1,1,0,0,4,0,7
1,1,0,0,3,0,5
1,1,0,0,4,0,7
1,1,0,0,5,0,9
1,0,1,0,0,4,8
1,0,1,0,0,4,8
1,1,0,0,7,0,13
1,1,0,0,3,0,5
1,1,0,0,5,0,9
1,1,0,0,3,0,5
1,1,0,0,3,0,5
1,0,1,0,0,3,6
1,0,1,0,0,4,8
1,1,0,0,3,0,5
1,0,0,1,5,4,9
1,1,0,0,6,0,11
1,0,1,0,0,9,18
1,1,0,0,3,0,5
1,0,0,1,5,4,9
1,1,0,0,3,0,5
1,1,0,0,3,0,5
1,1,0,0,3,0,5
1,1,0,0,3,0,5
1,1,0,0,3,0,5
1,1,0,0,6,0,11
1,1,0,0,5,0,9
1,1,0,0,4,0,7
1,1,0,0,3,0,5
1,1,0,0,3,0,5
1,1,0,0,3,0,5
1,0,0,1,5,4,9
1,1,0,0,5,0,9
1,0,0,1,5,4,9
1,1,0,0,3,0,5
1,0,1,0,0,3,6
1,0,0,1,5,4,9
1,1,0,0,5,0,9
1,0,0,1,5,4,9
1,1,0,0,3,0,5
1,1,0,0,3,0,5
1,0,1,0,0,3,6
1,1,0,0,3,0,5
1,1,0,0,5,0,9
1,0,1,0,0,4,8
1,1,0,0,3,0,5
1,1,0,0,3,0,5
1,1,0,0,3,0,5
1,1,0,0,3,0,5
1,1,0,0,3,0,5
1,1,0,0,3,0,5
1,1,0,0,3,0,5
1,1,0,0,3,0,5
1,1,0,0,3,0,5
1,1,0,0,3,0,5
1,0,1,0,0,4,8
1,0,0,1,5,4,9
1,1,0,0,3,0,5
1,0,1,0,0,3,6
1,1,0,0,4,0,7
1,1,0,0,4,0,7
1,0,1,0,0,4,8
1,1,0,0,4,0,7
1,1,0,0,4,0,7
1,1,0,0,4,0,7
1,1,0,0,3,0,5
1,0,1,0,0,3,6
1,0,1,0,0,3,6
1,1,0,0,3,0,5
1,1,0,0,3,0,5
1,1,0,0,4,0,7
1,1,0,0,3,0,5
1,1,0,0,3,0,5
1,1,0,0,4,0,7
1,1,0,0,4,0,7
1,1,0,0,4,0,7
1,0,0,1,5,4,9
1,1,0,0,4,0,7
1,0,1,0,0,3,6
1,1,0,0,4,0,7
1,1,0,0,7,0,13
1,1,0,0,4,0,7
1,1,0,0,4,0,7
1,0,1,0,0,4,8
1,1,0,0,4,0,7
1,1,0,0,4,0,7
1,0,1,0,0,4,8
1,0,1,0,0,5,10
1,1,0,0,4,0,7
1,0,1,0,0,5,10
1,0,1,0,0,3,6
1,1,0,0,3,0,5
